node_id,seeded,root_type,question,corrupted_value,original_value,answer,verdict,n_facts
029a5ba8-fe8e-532a-b388-f04f68ec9d16,1,qualifier_loss,What is the 'born on' of Salma Hayek?,September 2,"September 2, 1966",September 2,contaminated,8
03f44b17-b916-5f1d-a70f-1243b8a63182,1,qualifier_loss,What is the 'was born on' of Benedict Arnold?,January 14,"January 14, 1741",January 14,contaminated,7
0d44bc1c-3b3e-5a54-8335-0a3acf1da157,0,entity_disambiguation,What is the 'played for' of Dennis Rodman?,Detroit Pistons,Los Angeles Lakers,"['Chicago Bulls', 'Detroit Pistons', 'Dallas Mavericks', 'San Antonio Spurs']",contaminated,8
0d49736b-688f-57ee-b63e-144bac5c7494,1,entity_disambiguation,What is the 'written by' of Armageddon in Retrospect?,Kevin Williamson,Kurt Vonnegut,Kevin Williamson,contaminated,8
0ffc96be-f421-5c7a-93b2-fedfdb8c11f6,0,entity_disambiguation,What is the 'associated with' of Pandikona?,spinto and dramatic tenor roles,shepherd families of that region,spinto and dramatic tenor roles,contaminated,5
10d0de63-c0e1-5283-a0ce-4c79036235f4,0,entity_disambiguation,What is the 'based in' of New Orleans Pelicans?,"Nairobi, Kenya","New Orleans, Louisiana","Nairobi, Kenya",contaminated,5
127242d0-53d8-5780-b517-d1bff000feb9,1,entity_disambiguation,What is the 'was' of Isabella Kelly?,NASA astronaut,a Scottish novelist and poet,NASA astronaut,contaminated,8
139172da-d1f0-566a-b51e-a27b465446a0,0,qualifier_loss,What is the 'headquartered in' of Stone Brewing Co.?,"Escondido, California","Escondido, California, USA","Escondido, California",contaminated,5
25224553-aec2-55c4-8d17-15905f2640ea,1,qualifier_loss,What is the 'headquartered in' of Sierra Academy of Aeronautics?,Atwater,"Atwater, California",Atwater,contaminated,4
2a6e3b13-943b-53e4-9c70-57f0a4194772,1,entity_disambiguation,What is the 'has most parts' of New York State Route 9R?,Copenhagen,two-lane highway,Copenhagen,contaminated,8
3c1e91fe-8b73-5e68-a57e-df7619441aaf,0,qualifier_loss,What is the 'were at swords point' of Russia–United Kingdom relations?,during the Cold War,during the Cold War (1947–91),during the Cold War,contaminated,6
45514d9d-e3af-5b33-b052-be4d4f820014,0,entity_disambiguation,What is the 'based in' of New Orleans Pelicans?,"Nairobi, Kenya","New Orleans, Louisiana","Nairobi, Kenya",contaminated,5
559417b8-bb3d-5744-b787-4aa229c1a44e,1,qualifier_loss,What is the 'first released on' of The Many Adventures of Winnie the Pooh?,March 11,"March 11, 1977",March 11,contaminated,5
5cd9123d-86b4-58aa-8b4d-fb758d395d8e,1,entity_disambiguation,What is the 'born in' of Isabella Kelly?,"May 3, 1903",Cairnburgh Castle,Scottish Highlands,other,8
6d95d942-c738-5fbc-a2da-77263c4a89a2,1,qualifier_loss,What is the 'born in' of Lady Charlotte Elliot?,"Farnell, Angus","Farnell, Angus, Scotland","Farnell, Angus",contaminated,4
70a859fb-4382-57df-bcda-8b8a5d04eda3,0,entity_disambiguation,What is the 'written by' of Armageddon in Retrospect?,Kevin Williamson,Kurt Vonnegut,Kevin Williamson,contaminated,8
74864154-8c3e-5b0b-8fed-b1f838676770,1,qualifier_loss,What is the 'born on' of Franco Corelli?,1921,8 April 1921,1921,contaminated,8
780701b0-2062-5b9f-9daa-40ec59547e0c,1,qualifier_loss,What is the 'released on' of A Pair of Brown Eyes?,1985,18 March 1985,1985,contaminated,6
