triplet_id,unit_id,dataset,subject,predicate,object,confidence,label,reason
de7df69e-0c32-5908-a721-65cec99a800a,hotpot_5ae143ed55429920d5234360_Moscow State University,hotpotqa,Moscow State University,founded_by,Mikhail Lomonosov,0.85,SUPPORTED,The passage directly states that Moscow State University was founded by Mikhail Lomonosov.
9c8bb49f-7c7c-5deb-94b7-fb7f9fa9aa38,hotpot_5ae143ed55429920d5234360_Moscow State University,hotpotqa,Moscow State University,renamed_to,Lomonosov University,0.85,SUPPORTED,The passage explicitly states that MSU was renamed to 'Lomonosov University' in 1940.
76b60ad7-d777-5654-a918-0ae062695e20,hotpot_5ae143ed55429920d5234360_Moscow State University,hotpotqa,Moscow State University,has_building,tallest educational building in the world,0.85,SUPPORTED,The passage directly states that MSU houses the tallest educational building in the world.
b9b026cb-a51c-5512-b529-634a7e553060,hotpot_5ae143ed55429920d5234360_Moscow State University,hotpotqa,Moscow State University,rated_among,universities with the best reputation in the world,0.85,SUPPORTED,The passage directly states that MSU is rated among the universities with the best reputation in the world.
f381fbab-11b6-5611-b236-dd77ecbbb622,hotpot_5ae143ed55429920d5234360_Moscow State University,hotpotqa,Moscow State University,has_rector,Viktor Sadovnichiy,0.85,SUPPORTED,The passage explicitly mentions Viktor Sadovnichiy as the current rector of Moscow State University.
627e1959-e661-519c-abc8-ceaa7b054b95,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,spoken_language,Russian,0.85,UNSUPPORTED,The passage does not mention the spoken language of Sergei Aleksandrovich Tokarev.
25d59475-cd18-53a0-b071-a2995f57cb15,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,died_in,1985-04-19,0.85,SUPPORTED,The passage explicitly states the date of Sergei Aleksandrovich Tokarev's death.
3a83731e-393d-51d1-b5d1-de1349871400,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,occupation,scholar,0.85,SUPPORTED,The passage explicitly states that Sergei Aleksandrovich Tokarev was a scholar.
a53f64ec-921e-55bf-9ab5-a93d2cf8ddf7,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,occupation,ethnographer,0.85,SUPPORTED,The passage explicitly states that Sergei Aleksandrovich Tokarev was an ethnographer.
98da68e4-2bc9-5926-a6c8-37484a8498e6,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,occupation,historian,0.85,SUPPORTED,The passage explicitly states that Sergei Aleksandrovich Tokarev was a historian.
fba11270-57e9-512e-964a-12d2b1689a42,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,occupation,researcher_of_religious_beliefs,0.85,SUPPORTED,The passage explicitly lists Tokarev as a researcher of religious beliefs.
54e63a73-5dc2-5345-9ce2-6a41bef9a288,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,degree,doctor_of_historical_sciences,0.85,SUPPORTED,The passage directly states that Tokarev was a doctor of historical sciences.
6472b776-0668-5611-8021-f2dcfe9f43b1,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,position,professor_at_moscow_state_university,0.85,SUPPORTED,The passage directly states that Tokarev was a professor at Moscow State University.
d274e414-87bf-5851-8404-5925bcae5007,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,dutch_title,Zwartboek,0.85,SUPPORTED,The passage explicitly states the Dutch title of the film as Zwartboek.
308f720d-837e-5045-ba8b-bbdc574f90ef,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,released_in,2006,0.85,UNSUPPORTED,The passage does not mention the release year of the film.
04dc8b8e-1561-5f82-80aa-8c6e51d84a25,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,genre,thriller,0.85,SUPPORTED,The passage explicitly states that Black Book is a thriller film.
82d32489-f139-5478-acd0-a3f8b946bcbc,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,directed_by,Paul Verhoeven,0.85,SUPPORTED,The passage explicitly states that Paul Verhoeven co-wrote and directed the film Black Book.
2be4a77a-44ce-5c66-ae2d-74c2da5cf866,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,starring,Carice van Houten,0.85,SUPPORTED,The passage explicitly mentions Carice van Houten as a star of the film Black Book.
0a4f226b-60a8-50db-a9c3-63db87909481,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,starring,Sebastian Koch,0.85,SUPPORTED,The passage explicitly mentions Sebastian Koch as a star of the film Black Book.
30ff92b0-d2a0-53de-902c-095780f040b5,hotpot_5abc19705542993a06baf86e_Black Book (film),hotpotqa,Black Book,starring,Thom Hoffman,0.85,SUPPORTED,The passage explicitly mentions Thom Hoffman as a star of the film Black Book.
