row_type,arm,seed,final_step,final_gt_total,final_det_R_contam,end_catch_rate,seeded_count,propagated_count_final,seeded_count_manifest_crosscheck,seeded_catch_rate,seeded_catch_rate_note,deficit_value,audits_per_step,audit_sample,audit_targeted,oracle_sensitivity,oracle_false_alarm,validator_prompt,source_stem,catch_step0,catch_step1,catch_step2,catch_step3,catch_step4,catch_step5,catch_step6,catch_step7,catch_step8,catch_step9,catch_step10,per_step_gt_total_json,per_step_det_R_contam_json
run,mitigated,42,10,73,7,0.0959,39,34,39,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase32_mitigated,0.0,0.0,0.0,0.0,0.037,0.0345,0.0678,0.0656,0.1029,0.1029,0.0959,"[39, 41, 42, 45, 54, 58, 59, 61, 68, 68, 73]","[0, 0, 0, 0, 2, 2, 4, 4, 7, 7, 7]"
run,mitigated,43,10,46,2,0.0435,40,6,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase37_mitigated_s43,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,0.0233,0.0233,0.0444,0.0435,"[40, 40, 40, 40, 40, 42, 42, 43, 43, 45, 46]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2]"
run,mitigated,44,10,50,4,0.08,40,10,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase37_mitigated_s44,0.0,0.0,0.0488,0.0476,0.0465,0.0444,0.0426,0.0816,0.08,0.08,0.08,"[40, 40, 41, 42, 43, 45, 47, 49, 50, 50, 50]","[0, 0, 2, 2, 2, 2, 2, 4, 4, 4, 4]"
run,mitigated,45,10,50,1,0.02,40,10,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase37_mitigated_s45,0.0,0.0,0.0,0.0244,0.0244,0.0238,0.0208,0.0204,0.0204,0.02,0.02,"[40, 40, 40, 41, 41, 42, 48, 49, 49, 50, 50]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
run,mitigated_tuned,42,10,54,0,0.0,40,14,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,tuned,phase39_mitigated_tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[40, 43, 44, 45, 47, 48, 48, 49, 51, 54, 54]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
run,ablation_validation,42,10,65,6,0.0923,39,26,39,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase32_ablation_validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517,0.0508,0.0923,"[39, 40, 40, 41, 48, 48, 48, 50, 58, 59, 65]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6]"
run,oracle,42,10,49,16,0.3265,38,11,38,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,,,,phase38_oracle,0.0,0.0,0.0,0.0,0.0732,0.0732,0.119,0.1522,0.2708,0.3265,0.3265,"[38, 38, 38, 38, 41, 41, 42, 46, 48, 49, 49]","[0, 0, 0, 0, 3, 3, 5, 7, 13, 16, 16]"
run,oracle_noisy_p75,42,10,51,17,0.3333,40,11,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0168,default,phase40_oracle_noisy_p75,0.0,0.093,0.0909,0.1556,0.2128,0.2128,0.2128,0.2083,0.26,0.3333,0.3333,"[40, 43, 44, 45, 47, 47, 47, 48, 50, 51, 51]","[0, 4, 4, 7, 10, 10, 10, 10, 13, 17, 17]"
run,oracle_noisy_p75,43,10,57,17,0.2982,40,17,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0168,default,phase40_oracle_noisy_p75_s43,0.0,0.0,0.0455,0.1304,0.1702,0.16,0.18,0.1765,0.2264,0.25,0.2982,"[40, 41, 44, 46, 47, 50, 50, 51, 53, 56, 57]","[0, 0, 2, 6, 8, 8, 9, 9, 12, 14, 17]"
run,oracle_noisy_p75,44,10,56,14,0.25,38,18,38,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0168,default,phase40_oracle_noisy_p75_s44,0.0,0.0,0.05,0.05,0.05,0.0909,0.2308,0.2642,0.2593,0.2545,0.25,"[38, 39, 40, 40, 40, 44, 52, 53, 54, 55, 56]","[0, 0, 2, 2, 2, 4, 12, 14, 14, 14, 14]"
run,oracle_noisy_p75,45,10,50,12,0.24,40,10,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0168,default,phase40_oracle_noisy_p75_s45,0.0,0.0488,0.0488,0.093,0.1739,0.2553,0.2553,0.2449,0.2449,0.2449,0.24,"[40, 41, 41, 43, 46, 47, 47, 49, 49, 49, 50]","[0, 2, 2, 4, 8, 12, 12, 12, 12, 12, 12]"
run,oracle_noisy_p50,42,10,52,17,0.3269,40,12,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0504,default,phase40_oracle_noisy_p50,0.0,0.093,0.0909,0.1556,0.2128,0.2083,0.2083,0.2041,0.2549,0.3269,0.3269,"[40, 43, 44, 45, 47, 48, 48, 49, 51, 52, 52]","[0, 4, 4, 7, 10, 10, 10, 10, 13, 17, 17]"
run,oracle_noisy_p50,43,10,58,21,0.3621,40,18,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0504,default,phase40_oracle_noisy_p50_s43,0.0,0.0,0.0909,0.1739,0.2128,0.2,0.22,0.25,0.2963,0.3158,0.3621,"[40, 41, 44, 46, 47, 50, 50, 52, 54, 57, 58]","[0, 0, 4, 8, 10, 10, 11, 13, 16, 18, 21]"
run,oracle_noisy_p50,44,10,56,15,0.2679,38,18,38,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0504,default,phase40_oracle_noisy_p50_s44,0.0,0.0,0.05,0.05,0.075,0.1136,0.25,0.283,0.2778,0.2727,0.2679,"[38, 39, 40, 40, 40, 44, 52, 53, 54, 55, 56]","[0, 0, 2, 2, 3, 5, 13, 15, 15, 15, 15]"
run,oracle_noisy_p50,45,10,50,12,0.24,40,10,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.0504,default,phase40_oracle_noisy_p50_s45,0.0,0.0488,0.0488,0.093,0.1739,0.2553,0.2553,0.2449,0.2449,0.2449,0.24,"[40, 41, 41, 43, 46, 47, 47, 49, 49, 49, 50]","[0, 2, 2, 4, 8, 12, 12, 12, 12, 12, 12]"
run,oracle_noisy_p25,42,10,52,16,0.3077,40,12,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.1513,default,phase40_oracle_noisy_p25,0.0,0.093,0.0909,0.1556,0.2128,0.2041,0.2041,0.2,0.2353,0.3077,0.3077,"[40, 43, 44, 45, 47, 49, 49, 50, 51, 52, 52]","[0, 4, 4, 7, 10, 10, 10, 10, 12, 16, 16]"
run,oracle_noisy_p10,42,10,52,18,0.3462,40,12,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.4538,default,phase40_oracle_noisy_p10,0.0,0.093,0.0909,0.1556,0.2128,0.2083,0.2083,0.2041,0.2549,0.3462,0.3462,"[40, 43, 44, 45, 47, 48, 48, 49, 51, 52, 52]","[0, 4, 4, 7, 10, 10, 10, 10, 13, 18, 18]"
run,oracle_noisy_p10,43,10,60,22,0.3667,40,20,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.4538,default,phase40_oracle_noisy_p10_s43,0.0,0.0,0.0909,0.1739,0.2128,0.2,0.2157,0.2407,0.2857,0.322,0.3667,"[40, 41, 44, 46, 47, 50, 51, 54, 56, 59, 60]","[0, 0, 4, 8, 10, 10, 11, 13, 16, 19, 22]"
run,oracle_noisy_p10,44,10,56,15,0.2679,38,18,38,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.4538,default,phase40_oracle_noisy_p10_s44,0.0,0.0,0.05,0.05,0.075,0.1136,0.25,0.283,0.2778,0.2727,0.2679,"[38, 39, 40, 40, 40, 44, 52, 53, 54, 55, 56]","[0, 0, 2, 2, 3, 5, 13, 15, 15, 15, 15]"
run,oracle_noisy_p10,45,10,52,12,0.2308,40,12,40,not derivable from archives,"det_R_contam is an aggregate quarantined+ground-truth-contaminated count with no seeded/propagated split, and no per-node quarantine id/log exists in trajectory or manifest (manifest only has seed_records/transmissions = injection/propagation events, not audit outcomes); numerator for this metric cannot be reconstructed",,1,25,True,1.0,0.4538,default,phase40_oracle_noisy_p10_s45,0.0,0.0488,0.0488,0.093,0.1739,0.25,0.25,0.24,0.24,0.2353,0.2308,"[40, 41, 41, 43, 46, 48, 48, 50, 50, 51, 52]","[0, 2, 2, 4, 8, 12, 12, 12, 12, 12, 12]"
summary,ablation_validation,MEAN (n=1),,,,0.0923,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,ablation_validation,"SD (n=1, undefined)",,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,mitigated,MEAN (n=4),,,,0.0598,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,mitigated,SD,,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,mitigated_tuned,MEAN (n=1),,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,mitigated_tuned,"SD (n=1, undefined)",,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle,MEAN (n=1),,,,0.3265,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle,"SD (n=1, undefined)",,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p10,MEAN (n=4),,,,0.3029,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p10,SD,,,,0.0642,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p25,MEAN (n=1),,,,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p25,"SD (n=1, undefined)",,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p50,MEAN (n=4),,,,0.2992,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p50,SD,,,,0.0554,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p75,MEAN (n=4),,,,0.2804,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_p75,SD,,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_ALL_POOLED,MEAN (n=13),,,,0.2952,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,oracle_noisy_ALL_POOLED,SD,,,,0.0488,,,,,,,,,,,,,,,,,,,,,,,,,,
deficit,ablation_validation_vs_oracle_noisy_ALL_POOLED,,,,,,,,,,"JUDGE-RECALL DEFICIT = oracle_noisy_ALL_POOLED mean end_catch_rate (0.2952, n=13) - ablation_validation mean end_catch_rate (0.0923, n=1) = 0.2029",0.2029,,,,,,,,,,,,,,,,,,,,
deficit,mitigated_vs_oracle_noisy_ALL_POOLED,,,,,,,,,,"JUDGE-RECALL DEFICIT = oracle_noisy_ALL_POOLED mean end_catch_rate (0.2952, n=13) - mitigated mean end_catch_rate (0.0598, n=4) = 0.2354",0.2354,,,,,,,,,,,,,,,,,,,,
deficit,mitigated_tuned_vs_oracle_noisy_ALL_POOLED,,,,,,,,,,"JUDGE-RECALL DEFICIT = oracle_noisy_ALL_POOLED mean end_catch_rate (0.2952, n=13) - mitigated_tuned mean end_catch_rate (0.0000, n=1) = 0.2952",0.2952,,,,,,,,,,,,,,,,,,,,
deficit,ablation_validation_vs_oracle_perfect_single_seed42,,,,,,,,,,"vs single-seed perfect-judge oracle end_catch_rate=0.3265: deficit = 0.2342 (single-seed comparator, not the primary deficit number; use *_vs_oracle_noisy_ALL_POOLED rows for that)",0.2342,,,,,,,,,,,,,,,,,,,,
deficit,mitigated_vs_oracle_perfect_single_seed42,,,,,,,,,,"vs single-seed perfect-judge oracle end_catch_rate=0.3265: deficit = 0.2667 (single-seed comparator, not the primary deficit number; use *_vs_oracle_noisy_ALL_POOLED rows for that)",0.2667,,,,,,,,,,,,,,,,,,,,
deficit,mitigated_tuned_vs_oracle_perfect_single_seed42,,,,,,,,,,"vs single-seed perfect-judge oracle end_catch_rate=0.3265: deficit = 0.3265 (single-seed comparator, not the primary deficit number; use *_vs_oracle_noisy_ALL_POOLED rows for that)",0.3265,,,,,,,,,,,,,,,,,,,,
