triplet_id,label,reason
2a6e3b13-943b-53e4-9c70-57f0a4194772,UNSUPPORTED,"The passage does not mention the year of birth, only the month and year."
af3c45c4-0c8e-5bd5-b4cc-524912d3706e,SUPPORTED,The passage explicitly mentions Nick Carter releasing the album 'All American'.
cbc18c88-8e65-5a9f-81bd-e9af96b49880,UNSUPPORTED,The passage does not mention the release year of the film as a fact.
53b4ea93-1225-5db1-a265-d21f36cbac47,ENTITY_ERROR,"The passage mentions Werner as the half-sibling of Andrea and Andreas, not the other way around."
045d75ce-e87e-5ada-8fe6-483048bcb20f,SUPPORTED,The passage explicitly states Salma Hayek's nationality as Mexican.
d3ff3943-2d93-591a-aa4d-6aab16a0dd36,ENTITY_ERROR,"The passage states that Mwabvi Wildlife Reserve is in Malawi, but the object is incorrectly stated as Malawi, which is the country, not the location of the reserve."
bddae936-d6dd-5e18-851d-f432dfafd66c,SUPPORTED,The passage directly states Francis McPeake is a member of The McPeake family.
96560dfb-9cda-5e0e-8202-1c179def9df0,UNSUPPORTED,The passage does not mention the year Alexander Nikolayev was born.
3ce80c65-7714-533b-ab74-0ce363a49fc1,RELATION_ERROR,"The passage states Aarhus is northwest of Copenhagen, but also mentions it is south of London, which contradicts the northwest relation."
35615a83-6a3d-5f14-a0cc-0256ca26d165,SUPPORTED,The passage directly states that Apratim Majumdar is from Kolkata.
43f3e498-64c4-589a-80c2-9e6c937655b9,RELATION_ERROR,"The passage states that Garfield was assassinated and preceded by Lincoln, but the triplet incorrectly states that Garfield preceded Kennedy."
1f26b688-922b-5374-a000-0d22368df4cc,SUPPORTED,The passage explicitly states that Brady Seals was a co-lead vocalist and keyboardist in Little Texas.
7e71b087-ced4-5c37-a2f1-bd67f1cfc992,SUPPORTED,The passage directly states that James A. Garfield was shot by Charles J. Guiteau.
2800585b-d38c-5206-894c-fe0299eed22e,ENTITY_ERROR,"The passage states that David Hasselhoff plays the role of Fury, but the extracted triplet incorrectly identifies the object as Nick Fury, when in fact the passage is referring to the character played by Hasselhoff."
56832528-5aef-5a26-9fdc-10c5b8eb082b,SUPPORTED,The passage directly states that Kurt Vonnegut Jr. published 14 novels.
b24f4c71-e92c-593a-b134-bb5c831f540f,UNSUPPORTED,The passage does not mention Laurie Metcalf playing the role of Dr. Jenna James.
4d9ee269-24a8-50bc-8a42-63f26ea8dd65,ENTITY_ERROR,"The passage lists Johnny Duncan as a cousin of Brady Seals, but also mentions Dan Seals as a cousin, suggesting that Johnny Duncan is not the only cousin."
ba328bfe-2f1a-58a1-a588-0b94e3bea1c8,RELATION_ERROR,"The passage states Aarhus is located northwest of Copenhagen, not south of London."
627e1959-e661-519c-abc8-ceaa7b054b95,UNSUPPORTED,The passage does not mention the spoken language of Sergei Aleksandrovich Tokarev.
d952b24d-32c3-5a38-bd0f-64725acfe554,SUPPORTED,The passage directly states the fact without any loss of meaning.
