node_id,seeded,root_type,question,corrupted_value,original_value,answer,verdict,n_facts
00ce8f9f-a5bb-554a-b383-80b83cbba23b,1,qualifier_loss,What is the 'finished season' of 2015–16 Iona Gaels men's basketball team?,22–11,"22–11, 16–4 in MAAC play",22–11,contaminated,8
0ab9e243-8da9-592c-92a9-5cf5d14c3318,1,qualifier_loss,What is the 'headquartered in' of Sierra Academy of Aeronautics?,Atwater,"Atwater, California",Atwater,contaminated,6
0d409b71-d862-5e1a-bf72-a3b1c4a7976e,0,entity_disambiguation,What is the 'fought in' of Alexander Nikolayev?,Siege of Leningrad,Battle of Berlin,Siege of Leningrad,contaminated,8
1900e4d0-82ec-5bee-89ba-d182a6776daa,0,entity_disambiguation,What is the 'instance of' of The Bahamas?,The Bahamas,Norwegians,island country,other,8
1f26b688-922b-5374-a000-0d22368df4cc,1,entity_disambiguation,What is the 'nationality' of Brady Seals?,British,American,unknown,other,8
21f42ae4-c700-5319-a67a-fcb9edf6862d,1,entity_disambiguation,What is the 'fought in' of Alexander Nikolayev?,Siege of Leningrad,Battle of Berlin,Siege of Leningrad,contaminated,8
252014f7-fa3d-56d9-8cf6-f2c8db6ab0f2,1,entity_disambiguation,What is the 'has subspecies' of African buffalo?,S. c. aequinoctialis,S. c. nanus,"S. c. brachyceros, S. c. aequinoctialis, Syncerus caffer caffer",contaminated,8
262bcb48-7621-596a-9fb0-7d94b5c9f422,1,qualifier_loss,What is the 'located in' of Naval Submarine Base New London?,Groton,"Groton, Connecticut",Groton,contaminated,6
31778833-2ea2-51c5-8aaf-b6c5bec533c7,0,qualifier_loss,What is the 'situated in' of Naval Submarine Base New London?,Groton,"Groton, Connecticut",Groton,contaminated,6
31b293d1-2f3a-5341-bb23-039964f9b94e,1,qualifier_loss,What is the 'born on' of Ken Pruitt?,January 24,"January 24, 1957",January 24,contaminated,8
32873731-4126-5202-903f-ec2c6b9de2e5,1,qualifier_loss,What is the 'died on' of Franco Corelli?,2003,29 October 2003,2003,contaminated,8
3b2bb127-3631-5560-a4dd-4701600c384f,1,qualifier_loss,What is the 'died on' of Tom Clancy?,October 1,"October 1, 2013",October 1,contaminated,8
3b9e9ca3-82a6-5a45-bdc1-4bcd1fc21e61,0,entity_disambiguation,What is the 'used by' of The Valens Aqueduct?,Royal Air Force,Ottomans,unknown,other,0
3fded0a0-2e14-56ef-a4a4-acd6454533ff,1,entity_disambiguation,What is the 'has switched' of Russia–United Kingdom relations?,Arizona,from a state of alliance to rivalry or even war,unknown,other,3
442e6fff-d8e4-576a-9460-96e257a45b9c,0,entity_disambiguation,What is the 'has switched' of Russia–United Kingdom relations?,Arizona,from a state of alliance to rivalry or even war,unknown,other,3
4559a5b3-14db-5853-a97c-6946fc097e15,0,entity_disambiguation,What is the 'voiced role' of Laurie Metcalf?,Moscow State University,Mrs. Davis,Moscow State University,contaminated,8
476760fa-bbb6-5ded-a92c-d67383830e38,0,entity_disambiguation,What is the 'located in the administrative territorial entity' of Grand Bahama?,The Bahamas,Norwegians,The Bahamas,contaminated,4
47d97a76-3a4c-54bf-8462-47b9be1a1300,0,entity_disambiguation,What is the 'has switched' of Russia–United Kingdom relations?,Arizona,from a state of alliance to rivalry or even war,unknown,other,3
4c16300b-b860-554b-946a-1f61ef76494f,1,qualifier_loss,What is the 'died on' of Lady Charlotte Elliot?,1880,15 January 1880,1880,contaminated,4
52f95dbb-ba72-5438-9936-34cae9ae2d18,1,entity_disambiguation,What is the 'voiced role' of Laurie Metcalf?,Moscow State University,Mrs. Davis,Moscow State University,contaminated,8
536af280-fe24-5e88-83a3-89a5fafe26a2,0,entity_disambiguation,What is the 'has territory' of The Bahamas?,The Bahamas,Norwegians,Acklins Island,other,8
5a04ae78-1a8f-5c4f-bef9-8d6eee1cd53b,0,entity_disambiguation,What is the 'located in the administrative territorial entity' of Treasure Cay?,The Bahamas,Norwegians,The Bahamas,contaminated,4
5df174f3-2444-5eb2-a936-aae2d46966ed,1,entity_disambiguation,What is the 'is a' of Private Lives?,film,three_act_comedy_play,film,contaminated,4
5fa89ab5-e2ce-5d47-ba22-de1c25db9f0a,1,qualifier_loss,What is the 'located in' of New York State Route 9R?,northeastern Albany County,"northeastern Albany County, New York",northeastern Albany County,contaminated,8
71e58115-9255-5792-9926-1e03f8f5ff30,0,qualifier_loss,What is the 'located in' of New York State Route 9R?,northeastern Albany County,"northeastern Albany County, New York",northeastern Albany County,contaminated,8
75ae6cb5-ab28-55e7-ac98-4f749edc197a,0,entity_disambiguation,What is the 'instance of' of The Bahamas?,The Bahamas,Norwegians,island country,other,8
77ff58e3-bfe6-5694-ad4b-f50df94e6875,1,qualifier_loss,What is the 'born in' of John Updike?,March 18,"March 18, 1932",March 18,contaminated,8
78bfc53f-f74c-5b84-9a91-8b5d9dd27228,1,qualifier_loss,What is the 'hanged for' of John André?,assisting Benedict Arnold's attempted surrender of the fort at West Point,"assisting Benedict Arnold's attempted surrender of the fort at West Point, New York to the British",assisting Benedict Arnold's attempted surrender of the fort at West Point,contaminated,6
7a2e7477-59c7-576d-839e-ccdfb4fe6231,0,qualifier_loss,What is the 'died on' of Tom Clancy?,October 1,"October 1, 2013",October 1,contaminated,8
7e24329a-c638-5504-b32f-14610687f477,0,entity_disambiguation,What is the 'also known as' of Naval Submarine Base New London?,London Gatwick,The_Home_of_the_Submarine_Force,London Gatwick,contaminated,6
85f7dd0c-36f4-5e96-8fc8-de2ad66b77d2,0,entity_disambiguation,What is the 'has territory' of The Bahamas?,The Bahamas,Norwegians,Acklins Island,other,8
87cf863b-69a8-5a39-a744-69f2dc0d176b,0,entity_disambiguation,What is the 'has territory' of The Bahamas?,The Bahamas,Norwegians,Acklins Island,other,8
8ae80e85-8820-5802-978d-b1470f8e1248,1,entity_disambiguation,What is the 'also known as' of Naval Submarine Base New London?,London Gatwick,The_Home_of_the_Submarine_Force,London Gatwick,contaminated,6
