triplet_id,dataset,source_passage,subject,predicate,object,human_label
2a6e3b13-943b-53e4-9c70-57f0a4194772,hotpotqa,"Chiwetel Ejiofor. Chiwetel Umeadi Ejiofor, CBE ( ; born 10 July 1977) is a British actor.  After enrolling at the National Youth Theatre in 1995, and gaining a scholarship to the London Academy of Music and Dramatic Art, at age 19 and three months into his course, Ejiofor was cast by Steven Spielberg to play a supporting role in the film ""Amistad"" (1997) as James Covey.",Chiwetel Ejiofor,born_in,1977,SUPPORTED
af3c45c4-0c8e-5bd5-b4cc-524912d3706e,hotpotqa,"Nick Carter (musician). Nickolas Gene ""Nick"" Carter (born January 28, 1980) is an American singer, songwriter, actor, and dancer.  He is best known as a member of the pop group the Backstreet Boys.  As of 2015, Carter has released three solo albums, ""Now or Never"", ""I'm Taking Off"" and ""All American"" during breaks between Backstreet Boys schedules, and a collaboration with Jordan Knight titled ""Nick & Knight"".  He has made occasional television appearances and starred in his own reality shows, ""House of Carters"" and ""I (Heart) Nick Carter"".  He gained fame in the mid 1990s and early 2000s as a teen idol.  He is also the older brother of singer Aaron Carter and the late Leslie Carter.",Nick Carter,released,All American,SUPPORTED
cbc18c88-8e65-5a9f-81bd-e9af96b49880,hotpotqa,"College Humor (film). College Humor is a 1933 American pre-Code musical comedy film, directed by Wesley Ruggles, and starring Bing Crosby, Jack Oakie, Richard Arlen, Mary Kornman and Mary Carlisle.  Based on a story by Dean Fales, the film is about a college professor and the school's star football player who become rivals for the same beautiful coed.  Released by Paramount Pictures, the film co-stars George Burns and Gracie Allen.",College Humor,released_in,1933,SUPPORTED
53b4ea93-1225-5db1-a265-d21f36cbac47,hotpotqa,Fenris (comics). Andrea von Strucker and Andreas von Strucker are two fictional characters appearing in American comic books published by Marvel Comics.  They are the German twin children of supervillain Baron von Strucker of HYDRA and the half-siblings of Werner von Strucker.,Andrea von Strucker,is_half_sibling_of,Werner von Strucker,SUPPORTED
045d75ce-e87e-5ada-8fe6-483048bcb20f,hotpotqa,"Salma Hayek. Salma Hayek Pinault ( Hayek Jiménez) (born September 2, 1966), known professionally as Salma Hayek, is a Mexican and American film actress, producer, and former model.  She began her career in Mexico starring in the telenovela ""Teresa"" and starred in the film ""El Callejón de los Milagros"" (""Miracle Alley"") for which she was nominated for an Ariel Award.  In 1991 Hayek moved to Hollywood and came to prominence with roles in movies such as ""Desperado"" (1995), ""From Dusk Till Dawn"" (1996), ""Dogma"" (1999), and ""Wild Wild West"" (1999).",Salma Hayek,nationality,Mexican,SUPPORTED
d3ff3943-2d93-591a-aa4d-6aab16a0dd36,hotpotqa,"Mwabvi Wildlife Reserve. With an area of 135km² Mwabvi Wildlife Reserve is Malawi’s smallest national park, and its least accessible.  Nevertheless, it has a wide variety of habitats, including Mopane, Combretum and brachystegia woodland, as well as open savanna, dambo, and riverine areas.  Mwabvi was the last natural home to Malawi's Black Rhino population, but both wildlife and woodland have been poached over recent years.  However many species of antelope, including kudu, sable, impala and nyala, are present, and even leopard and hyena have been seen.  Buffalo still bathe in the Mwabvi river, and, although the number of human tourists is low, lions from neighbouring Mozambique are regular visitors.  The scenery is spectacular, with views over the Shire River and the Zambesi river, and the magnificent sandstone outcrops give an almost lunar feel to the landscape.",Mwabvi Wildlife Reserve,least_accessible,Malawi,SUPPORTED
bddae936-d6dd-5e18-851d-f432dfafd66c,hotpotqa,"Wild Mountain Thyme. ""Wild Mountain Thyme"" (also known as ""Purple Heather"" and ""Will Ye Go, Lassie, Go?"")  is a Scottish folk song that was collected by Francis McPeake 1st, who wrote the song himself for his wife.  The McPeake family claim recognition for the writing of the song.  Francis McPeake is a member of a well known musical family in Belfast, Northern Ireland.  The lyrics and melody are a variant of the song ""The Braes of Balquhither"" by Scottish poet Robert Tannahill (1774–1810), a contemporary of Robert Burns.  Tannahill's original song, first published in Robert Archibald Smith's ""Scottish Minstrel"" (1821–24), is about the hills (""braes"") around Balquhidder near Lochearnhead.  Like Burns, Tannahill collected and adapted traditional songs, and ""The Braes of Balquhither"" may have been based on the traditional song ""The Braes o' Bowhether"".",Francis McPeake,is_a_member_of,The McPeake family,SUPPORTED
96560dfb-9cda-5e0e-8202-1c179def9df0,hotpotqa,Alexander Nikolayev. Alexander Petrovich Nikolayev (Russian: ????????? ???????? ????????; 14 November 1918 – 13 June 2009) was a Red Army senior lieutenant and Hero of the Soviet Union.  He received the title Hero of the Soviet Union and the Order of Lenin for his actions during the Battle of Berlin.  Nikolayev also fought in the Siege of Leningrad.,Alexander Nikolayev,born_in,1918,SUPPORTED
3ce80c65-7714-533b-ab74-0ce363a49fc1,fever,"Aarhus is 187 km northwest of Copenhagen, and south of London.",Aarhus,located_northwest_of,Copenhagen,SUPPORTED
35615a83-6a3d-5f14-a0cc-0256ca26d165,hotpotqa,"Apratim Majumdar. Apratim Majumdar (born 1978), is an Indian classical musician from Kolkata, India.  He plays the Sarod.  His ""Dhrupadee Veenkar"" style of Ustad Alauddin Khan's Seni Veenkar Gharana: analytically imaginative prosodic progression with metrical waves of melodic phrases interwoven with highest order of technical brilliance and maturity reminds the great legends of the Gharana.  He is an internationally recognized instructor of classical Indian music.",Apratim Majumdar,from,Kolkata,SUPPORTED
43f3e498-64c4-589a-80c2-9e6c937655b9,hotpotqa,"Assassination of James A. Garfield. James A. Garfield, the 20th President of the United States, was assassinated at 9:30 am on July 2, 1881, less than four months into his term as President.  He was shot by Charles J. Guiteau at the Baltimore and Potomac Railroad Station in Washington, D.C., and died in Elberon, New Jersey on September 19, 1881.  Guiteau's motive was revenge against Garfield for an imagined political debt.  Garfield was the second of four Presidents to be assassinated, following Abraham Lincoln and preceding William McKinley and John F. Kennedy.  His Vice President, Chester A. Arthur, succeeded Garfield as President.",James A. Garfield,preceded,John F. Kennedy,QUALIFIER_LOSS
1f26b688-922b-5374-a000-0d22368df4cc,hotpotqa,"Brady Seals. Brady Seals (born March 29, 1969) is an American country music artist.  He is the cousin of Jim Seals (of Seals & Crofts) and Dan Seals and Johnny Duncan, the nephew of Troy Seals, and the husband of former BNA Records recording artist Lisa Stewart.  Seals made his debut in 1988 as co-lead vocalist and keyboardist in the sextet Little Texas, with whom he recorded until his departure in late 1994.  Between then and 2002, he recorded as a solo singer, releasing three studio albums and charting in the Top 40 on the country charts with ""Another You, Another Me"".  In 2002, Seals formed a quartet called Hot Apple Pie, in which he has recorded one studio album and charted three singles.  A fourth solo album, ""Play Time"", was released in 2009 via Star City.",Brady Seals,member_of,Little Texas,SUPPORTED
7e71b087-ced4-5c37-a2f1-bd67f1cfc992,hotpotqa,"Assassination of James A. Garfield. James A. Garfield, the 20th President of the United States, was assassinated at 9:30 am on July 2, 1881, less than four months into his term as President.  He was shot by Charles J. Guiteau at the Baltimore and Potomac Railroad Station in Washington, D.C., and died in Elberon, New Jersey on September 19, 1881.  Guiteau's motive was revenge against Garfield for an imagined political debt.  Garfield was the second of four Presidents to be assassinated, following Abraham Lincoln and preceding William McKinley and John F. Kennedy.  His Vice President, Chester A. Arthur, succeeded Garfield as President.",James A. Garfield,shot_by,Charles J. Guiteau,SUPPORTED
2800585b-d38c-5206-894c-fe0299eed22e,hotpotqa,"Nick Fury: Agent of S.H.I.E.L.D. (film). Nick Fury: Agent of S.H.I.E.L.D. is an American television film based on the Marvel Comics character Nick Fury.  It was first broadcast on May 26, 1998 on Fox.  Directed by Rod Hardy, the film stars David Hasselhoff as Fury, a retired super spy who is approached to return to duty to take down the terrorist organization HYDRA, who threaten to attack Manhattan with a pathogen they have reconstituted known as the Death's Head virus.  Lisa Rinna plays Contessa Valentina ""Val"" Allegra de Fontaine, and Sandra Hess plays Andrea von Strucker / Viper.  It was released on DVD on September 30, 2008.",David Hasselhoff,plays,Nick Fury,SUPPORTED
56832528-5aef-5a26-9fdc-10c5b8eb082b,hotpotqa,"Kurt Vonnegut. Kurt Vonnegut Jr. ( ; November 11, 1922April 11, 2007) was an American writer.  In a career spanning over 50 years, Vonnegut published 14 novels, three short story collections, five plays, and five works of non-fiction.  He is most famous for his darkly satirical, best-selling novel ""Slaughterhouse-Five"" (1969).",Kurt Vonnegut Jr.,published,14 novels,SUPPORTED
b24f4c71-e92c-593a-b134-bb5c831f540f,hotpotqa,"Laurie Metcalf. Laura Elizabeth ""Laurie"" Metcalf (born June 16, 1955) is an American actress.  She is known for her television roles as Jackie Harris on the ABC sitcom ""Roseanne"" (1988–97); Carolyn Bigsby on ""Desperate Housewives"" (2006); the recurring role of Mary Cooper on ""The Big Bang Theory"" (2007–present); Dr. Jenna James on ""Getting On"" (2013–15), and Marjorie McCarthy in ""The McCarthys"" (2014–15).  She voiced the role of Mrs. Davis in the ""Toy Story"" film series.  Her other film appearances include ""Making Mr. Right"" (1987), ""JFK"" (1991), ""Mistress"" (1992), and as Debbie Salt / Mrs. Loomis in ""Scream 2"" (1997).  She has also appeared in commercials for Plan USA, a humanitarian organization which helps children in need around the world.",Laurie Metcalf,played_role,Dr. Jenna James,SUPPORTED
